rent_date,rent_case
05/07/2019,83994
06/07/2019,70246
07/07/2019,75116
08/07/2019,93609
09/07/2019,95859
10/07/2019,43842
11/07/2019,65003
12/07/2019,94473
13/07/2019,81067
14/07/2019,74259
15/07/2019,57917
16/07/2019,82285
17/07/2019,84261
18/07/2019,81613
19/07/2019,77449
20/07/2019,56648
21/07/2019,46130
22/07/2019,82781
23/07/2019,83206
24/07/2019,59020
25/07/2019,34778
26/07/2019,22789
27/07/2019,50955
28/07/2019,23342
29/07/2019,74046
30/07/2019,69757
31/07/2019,26874
01/08/2019,59803
02/08/2019,67510
03/08/2019,49047
04/08/2019,46477
05/08/2019,65085
06/08/2019,66703
07/08/2019,50804
08/08/2019,69748
09/08/2019,67491
10/08/2019,54162
11/08/2019,43351
12/08/2019,24386
13/08/2019,63749
14/08/2019,65452
15/08/2019,32229
16/08/2019,71161
17/08/2019,72259
18/08/2019,72588
19/08/2019,81832
20/08/2019,82116
21/08/2019,56957
22/08/2019,82232
23/08/2019,86624
24/08/2019,85630
25/08/2019,81028
26/08/2019,87770
27/08/2019,83107
28/08/2019,88718
29/08/2019,65708
30/08/2019,86733
31/08/2019,90724
01/09/2019,89191
02/09/2019,92510
03/09/2019,74801
04/09/2019,27168
05/09/2019,33929
06/09/2019,16631
08/09/2019,52055
09/09/2019,68370
10/09/2019,18265
11/09/2019,75328
12/09/2019,32059
13/09/2019,57065
14/09/2019,48756
15/09/2019,82678
16/09/2019,89807
17/09/2019,92153
18/09/2019,92045
19/09/2019,91554
20/09/2019,94246
21/09/2019,86676
22/09/2019,41173
23/09/2019,92006
24/09/2019,93546
25/09/2019,92665
26/09/2019,92247
27/09/2019,93345
28/09/2019,89550
29/09/2019,86133
30/09/2019,88270
01/10/2019,88575
02/10/2019,27368
03/10/2019,75438
04/10/2019,94912
05/10/2019,83020
06/10/2019,82855
07/10/2019,21875
08/10/2019,81524
09/10/2019,85638
10/10/2019,81742
11/10/2019,92155
12/10/2019,84843
13/10/2019,84368
14/10/2019,79509
15/10/2019,85516
16/10/2019,84549
17/10/2019,85596
18/10/2019,89551
19/10/2019,87553
20/10/2019,79300
21/10/2019,84488
22/10/2019,88478
23/10/2019,87991
24/10/2019,89520
25/10/2019,84617
26/10/2019,67578
27/10/2019,65774
28/10/2019,67175
29/10/2019,71135
30/10/2019,76898
31/10/2019,76860
01/11/2019,77604
02/11/2019,68223
03/11/2019,67452
04/11/2019,78874
05/11/2019,78675
06/11/2019,74812
07/11/2019,68315
08/11/2019,65110
09/11/2019,60693
10/11/2019,40503
11/11/2019,58957
12/11/2019,68210
13/11/2019,39198
14/11/2019,45095
15/11/2019,15069
16/11/2019,45493
17/11/2019,11303
18/11/2019,37496
19/11/2019,40356
20/11/2019,42026
21/11/2019,47091
22/11/2019,56700
23/11/2019,54283
24/11/2019,24304
25/11/2019,42677
26/11/2019,52464
27/11/2019,46248
28/11/2019,46983
29/11/2019,44689
30/11/2019,38366
01/12/2019,9680
02/12/2019,34397
03/12/2019,33580
04/12/2019,38576
05/12/2019,29277
06/12/2019,26723
07/12/2019,23013
08/12/2019,22597
09/12/2019,34140
10/12/2019,33275
11/12/2019,34049
12/12/2019,33704
13/12/2019,34258
14/12/2019,27424
15/12/2019,29692
16/12/2019,41750
17/12/2019,25644
18/12/2019,34899
19/12/2019,32972
20/12/2019,32521
21/12/2019,20302
22/12/2019,24430
23/12/2019,29028
24/12/2019,33334
25/12/2019,22428
26/12/2019,25007
27/12/2019,29243
28/12/2019,26046
29/12/2019,18701
30/12/2019,22952
31/12/2019,18436
01/01/2020,16236
02/01/2020,28890
03/01/2020,30809
